DATE	HANDLES	WS	VM	COMMITSIZE
02/19/2015 09:29:08	372	234244	910592	652368
02/19/2015 09:29:08	372	234644	910592	653116
02/19/2015 09:29:08	372	235236	910592	653116
02/19/2015 09:29:08	372	235560	910592	653116
02/19/2015 09:29:08	372	235876	910592	653904
02/19/2015 09:29:08	372	236768	910592	654708
02/19/2015 09:29:09	372	237280	910592	654708
02/19/2015 09:29:09	372	237792	910592	655528
02/19/2015 09:29:09	372	238332	911608	655556
02/19/2015 09:29:09	372	238936	911608	655556
02/19/2015 09:29:09	372	239168	911608	656384
02/19/2015 09:29:09	372	239808	911608	656384
02/19/2015 09:29:09	372	240288	911608	657224
02/19/2015 09:29:09	372	240608	911608	657224
02/19/2015 09:29:09	372	240896	911608	657480
02/19/2015 09:29:09	372	241348	911608	657928
02/19/2015 09:29:09	372	242424	911608	658988
02/19/2015 09:29:09	372	242980	911608	659516
02/19/2015 09:29:09	372	243812	911608	660348
02/19/2015 09:29:09	372	244132	911608	660668
02/19/2015 09:29:10	372	244788	911608	661324
02/19/2015 09:29:10	372	244820	911608	661356
02/19/2015 09:29:10	372	245268	911608	661804
02/19/2015 09:29:10	372	245692	911608	662220
02/19/2015 09:29:10	372	245980	911608	662508
02/19/2015 09:29:10	372	245980	911608	662508
02/19/2015 09:29:10	372	245980	911608	662508
02/19/2015 09:29:10	372	245980	911608	662508
02/19/2015 09:29:10	370	245976	908676	659568
02/19/2015 09:29:10	370	245976	908676	659568
02/19/2015 09:29:10	370	245976	908676	659568
02/19/2015 09:29:10	370	245976	908676	659568
02/19/2015 09:29:10	370	245976	908676	659568
02/19/2015 09:29:10	370	245976	908676	659568
02/19/2015 09:29:11	370	245976	908676	659568
02/19/2015 09:29:11	370	245976	908676	659568
02/19/2015 09:29:11	370	245976	908676	659568
02/19/2015 09:29:11	370	245976	908676	659568
02/19/2015 09:29:11	370	245976	908676	659568
02/19/2015 09:29:11	370	246616	908676	660208
02/19/2015 09:29:11	370	247388	908676	660976
02/19/2015 09:29:11	370	248028	908676	661616
02/19/2015 09:29:11	370	248988	908676	662576
02/19/2015 09:29:11	370	249632	908676	663216
02/19/2015 09:29:11	370	236972	900352	650832
02/19/2015 09:29:11	373	177076	903284	594500
02/19/2015 09:29:11	373	177920	903284	595452
02/19/2015 09:29:11	373	178864	903284	596344
02/19/2015 09:29:12	373	180504	903284	598004
02/19/2015 09:29:12	373	180728	903284	598224
02/19/2015 09:29:12	373	180976	903284	598472
02/19/2015 09:29:12	373	181360	903284	598856
02/19/2015 09:29:12	373	181360	903284	598856
02/19/2015 09:29:12	373	181484	903284	598980
02/19/2015 09:29:12	373	181484	903284	598980
02/19/2015 09:29:12	373	181668	903284	599164
02/19/2015 09:29:12	373	182776	903284	600272
02/19/2015 09:29:12	373	183204	903284	600700
02/19/2015 09:29:12	373	183540	903284	601036
02/19/2015 09:29:12	373	184120	903284	601616
02/19/2015 09:29:12	373	185428	904328	602920
02/19/2015 09:29:12	373	185656	904328	603148
02/19/2015 09:29:12	373	185904	904328	603392
02/19/2015 09:29:13	373	186092	904328	603584
02/19/2015 09:29:13	373	186216	904328	603684
02/19/2015 09:29:13	373	186700	904328	604120
02/19/2015 09:29:13	373	187300	904328	604720
02/19/2015 09:29:13	373	187760	904328	605256
02/19/2015 09:29:13	373	188288	904328	605760
02/19/2015 09:29:13	373	189048	904328	606452
02/19/2015 09:29:13	373	190568	905368	607996
02/19/2015 09:29:13	373	191088	905368	608584
02/19/2015 09:29:13	373	191552	905368	608996
02/19/2015 09:29:13	373	191868	905368	609336
02/19/2015 09:29:13	373	192200	905368	609504
02/19/2015 09:29:13	373	192604	905368	609980
02/19/2015 09:29:13	373	193120	905368	610440
02/19/2015 09:29:14	373	193588	905368	610904
02/19/2015 09:29:14	373	193920	905368	611232
02/19/2015 09:29:14	373	194440	905368	611748
02/19/2015 09:29:14	373	195292	905368	612620
02/19/2015 09:29:14	373	195656	905368	613068
